province,city,office_name,address,phone_numbers,source_url,retrieved_at_utc
آذربایجان غربی,پلدشت,پلدشت,پلدشت - خیابان شهرداری -کوچه پشت شهرداری,04434284700-04434282387-09144617896,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,پيرانشهر,پيرانشهر,پیرانشهر- خیابان بهشتی - خیابان مولوی غربی- کوچه فنی حرفه ای,04444227521-04444233660-09141663995,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,تكاب,تكاب,تکاب خیابان امام سه راه جهاد جنب کتابخانه آیت الله خسروی,09143824451-04445529360-09143824451-04445529360,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,چالدران,چالدران,خیابان رجایی  روبروی فرمانداری کانون فرهنگی آموزش نمایندگی چالدران,09146096122-09144633314-04434267524,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,خوي,خوي,خوی -  بلوار شیخ نوایی - جنب مجتمع فرهنگی هنری اداره ارشاد اسلامی خوی,04436353666-04436359311-04436359312-04436359313,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,ربط,ربط,ربط - خیابان امام خمینی - کوچه بهداشت - پلاک5969115747,04444364463-09360261097-04444364463-09144445724,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,سردشت,سردشت,سردشت خیابان شهید رجایی جنب طلافروشان حدیثی ساختمان قلم چی طبقه 3,09143024193-09141687321-04444327700,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,سلماس,سلماس,سلماس خیابان فردوسی تقاطع معلم جنب تالار چهل ستون,04435238828-09149461704-04435238828-04435248050,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,شاهين دژ,شاهين دژ,آذربایجان غربی شا هین دژ خیابان امام روبه روی آموزش وپرورش,04446326687-04446325575-04446331971-09144827119,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,شوط,شوط,شوط - خیابان ساحلی اول کوچه شهید حسن زاده ساختمان سابق دادگستری,04434277461-04434274666-09142378421-09144626537,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,قره ضياالدين,قره ضياالدين,بلوار ورودی شهر -خیابان 24 متری جنب کانال -پشت دارایی,04436721161,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,ماكو,ماكو,شهرستان ماکو - شهرک ولیعصر میدان طباطبایی خیابان امامت,04434242963,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,مهاباد,مهاباد,خ صلاح الدین ایوبی غربی طبقه دوم داروخانه دکتر شیخ آقایی,04442226720-04442221812-04442224770-04442227415,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,مهاباد2,مهاباد2,مهاباد-خیابان صلاح الدین غربی نرسیده به سه راه وفایی روبروی بانک مسکن ساختمان وفایی ط2,04442242211-04442242211-04442242211-04442242211,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,مياندوآب,مياندوآب پسران,میاندوآب برادران - خیابان شهدا - روبروی مسجد امام حسین  - نمایندگی کانون فرهنگی آموزش - قلم چی,04445261888-09141839740-04445243939-04445228048,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,مياندوآب,مياندوآب دختران,میاندواب-خیابان شهدا-بالاتر از اتش نشانی,04445261888-09143212556-04445228500-04445244088,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
آذربایجان غربی,نقده,نقده,خیابان باهنر کوچه شهید هوشیارجنب دبیرستان پروین اعتصامی واحد خواهران -  خیابان مطهری 1 ربروی بستنی پوپ واحد برادران,04435673147-04435673191-04435673149-04435673150,https://www.kanoon.ir/City/Agencies?state=7,2026-09-18T12:23:00+00:00
اردبیل,اردبيل,اردبيل,چهارراه حافظ پشت بانک رفاه کارگران پلاک 1,04533726078-04533726075-04533726076,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,انگوت,انگوت,اردبیل - شهرستان گرمی - بخش انگوت - خیابان امام - جنب گلزار شهدای گمنام - آموزشگاه آزاد علمی علامه جعفری - کد پستی 5658113169,09141584480-04532653215-09144523978-04532653215,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,بيله سوار,بيله سوار,بیله سوار -خیابان طالقانی- جنب تامین اجتماعی-کانون فرهنگی آموزش قلم چی,09363771425-04532828728-09141526309-04532826950,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,پارس‌آباد مغان,پارس‌آباد مغان,پارس اباد مغان - سه راه دانشگاه آزاد اسلامی - خیابان دانشجو - جنب تعزیرات حکومتی,04532720100-09381495118-04532730111-04532730200,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,خلخال,خلخال,خلخال میدان آزادی ابتدای خیابان کارگر شمالی رو به روی بانک سپه طبقه دوم نمایندگی بیمه آسیا جنب شهرداری,045-32434157-32434927-09144540169,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,مشكين شهر,مشكين شهر,مشکین شهر خ ابوذر انتهای کوچه قلم چی  کلخورانی سابق,04525229376-04525224260-04525242639-09143536486,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اردبیل,نمين,نمين,نمین خیابان طالقانی کوچه ساحل دفتر نمایندگی کانون فرهنگی آموزش,04523225888-04523224671-04523225888-04523222041,https://www.kanoon.ir/City/Agencies?state=22,2026-09-18T12:23:00+00:00
اصفهان,آران و بيدگل,آران و بيدگل,آران و بیدگل میدان سپاه -خیابان زینبیه - روبروی فروشگاه معیلی,۰۳۱۵۴۷۳۱۹۹۵-۰۳۱۵۴۷۳۰۱۵۱-۰۹۳۹۱۶۲۲۳۷۷-۰۹۱۳۶۵۷۲۶۳۲,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,اردستان,اردستان,اردستان خیابان امام روبروی بانک ملی کانون قلم چی,03625247600-09363520493-09125581520-03625248787,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,اصفهان,اصفهان پسران,"توحید جنوبی -چهار راه پلیس - جنب پارکینگ نیروی انتظامی -آموزشگاه دکتر شفیعی

شماره تماس خانه اصفهان : 09331108891",03136278120-03136260163-09130913777,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,اصفهان,اصفهان دختران,اصفهان دروازه شیراز خیابان شیخ صدوق شمالی نیکبخت غربی روبروی کتابخانه میرداماد,03136643880-03136643881-03136643882-03136643883,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,باغ بهادران,باغ بهادران,"لنجان. باغبهادران میدان بسیج. خیابان شهرداری روبه روی مدرسه استقلال-مسئول نمایندگی طیبه شوکتی
تلفن: ۵۲۵۰۵۲۲۵
۰۹۳۶۱۶۶۰۰۹۴",۰۹۳۶۱۶۶۰۰۹۴-031۵۲۵۰۵۲۲۵,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,بهارستان,بهارستان,محله 3 خیابان شمشاد حد فاصل خیابان ایثارجنوبی و خیابان ایمان نبش پیمان 6 پلاک 110 - مسئول نمایندگی : علی محمد شفیعی,36813800-36821768-09133108085-36826555-36826556,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,خميني شهر,خميني شهر,خمینی شهر خیابان شریعتی شمالی نرسیده به سه راه معلم کوچه 153,33582144-33582145-33582146-33582148,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,خوانسار,خوانسار,بلوار شهید صادقی فرهنگسرای خانواده - کانون فرهنگی آموزش قلم چی خوانسار,03157231214,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,داران,داران,داران    بلوار صیاد شیرازی     غیر انتفاعی الزهرا,03157223220-09133721097-03157225854,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,دهاقان,دهاقان,دهاقان - میدان دفاع مقدس - خیابان شهید سیدرضا حجازی,09132225373-03153338081-03153338082,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,دولت آباد اصفهان,دولت آباد اصفهان,دولت اباد برخوار دولت آباد فلکه سجاد خیابان شهید محمد داوری ( رو به روی مدرسه نوایی) کوچه مطهری کوچه خیام,۰۳۱45824522,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,زرين شهر,زرين شهر,زرین شهر، چهار راه نماز ، ابتدای خیابان شهید بهشتی، جنب دفتر اسناد رسمی115، پلاک51  کدپستی 84718-54569,03152270021-03152270015-03152270016,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,سفیدشهر,سفیدشهر,سفیدشهر - خیابان ۲۲ بهمن - جنب مسجد جامع - کانون فرهنگی آموزش قلم چی,۵۴۸۳۴۴۱۱-9303612423,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,شاهين شهر,شاهين شهر,شاهین شهر - خیابان دهخدا فرعی 1 شرقی پلاک 67,03145233233-03145278649-03145228028-03145224265,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,شهرضا,شهرضا پسران,شهرضا میدان مفتح جنب رستوران شهرزاد,03153509510-03153509610-03153509510-03153509610,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,شهرضا,شهرضا دختران,شهرضا خیابان شهید بهشتی روبروی بانک ملت,03153238137-03153233138-03153241555,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,فريدونشهر,فريدونشهر,فریدونشهر-خیابان پاسداران-جنب سالن اجتماعات شهرداری,03157594458-09162317391-09132716921-03157597000,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,فلاورجان,فلاورجان,فلاورجان-خ فردوسی -جنب شهرداری-کانون فرهنگی آموزش,03137434643-03137434991-03137434991-03137434990,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,فولاد شهر,فولاد شهر,فولاد شهر ، ب 7 ، جنب فلکه آبنما (فوژان) ، پلاک 227,09132374743-52644024-09133078772,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,كاشان,كاشان,کاشان - خیابان زیارتی-بعد از دبیرستان پسرانه تیزهوشان-ابتدای 12 متری یاسر,03155570934-03155575707-03155570934-03155575707,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,گلپايگان,گلپايگان,گلپایگان خیابان آیت الله گلپایگانی کوچه 23,03157437037-03157451008-03157437037-03157451008,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,مباركه,مباركه,بلوار نیکبخت خ بسیج جنوبی ابتدای خیابان ابوذر غفاری روبروی مجتمع فرهنگی الزهرا,03152467890-03152467891-09133800899-09133823188,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,نائين,نائين,نائین- خیابان امام خمینی - روبروی بانک قوامین - طبقه دوم مجتمع پزشکی بهار - کانون فرهنگی آموزش نائین,03146259755-09139234619-03146259755,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,نجف آباد,نجف آباد,نجف آباد - خیابان شیخ بهایی جنوبی - ابتدای خیابان دلگشا - کوی شهید نساج کانون فرهنگی آموزش نمایندگی نجف آباد,42638194-42649977 -42649616,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
اصفهان,نطنز,نطنز,نطنز-خیابان قدس-روبروی اداره دارایی-نمایندگی کانون فرهنگی آموزش,03154226811-03154226856-03154224156-03154222256,https://www.kanoon.ir/City/Agencies?state=6,2026-09-18T12:23:00+00:00
البرز,كرج,كرج پسران,کرج - طالقانی شمالی نرسیده به پل آزادگان ابتدای خیابان مدنی آموزشگاه پژوهندگان علم-قلم چی,02632407463-02691014141-02632407442,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,كرج,كرج دختران,کرج طالقانی شمالی نرسیده به میدان آزادگان بعد از گل فروشی رز طبقه فوقانی آموزشگاه آشپزی سرای سبز  کانون فرهنگی آموزش واحد دختران کرج تلفن 02632131,02632240275-02632246410-02632242168-02632242190,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,ماهدشت,ماهدشت,اشتهارد خیابان امام، نبش آیت الله دستغیب، نرسیده به مسجد چهار محله، جنب املاک پارسیان,02617727876-02617727876-02617727876,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,محمد شهر,محمد شهر,محمدشهر  بلوارر امام خمینی روبروی مصلا جنب بانک مسکن ساختمان مرجان,02636215021-09198630806-09127668715-02636217928,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,نظرآباد,نظرآباد,نظرآباد ـ خیابان انقلاب ـ خیابان اشرفی اصفهانی - پلاک 43,02645346301-02645344225-02645344225-02645346301,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,هشتگرد,هشتگرد,هشتگرد-خیابان مصلی- پاساژقائم - طبقه دوم,02644240207-02644240205-02644234941-02644234940,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,کرج جنوب,کرج جنوب دختران,"کرج -فردیس -بین فلکه چهارم و پنجم نبش خیابان 44 شرقی جدید بالای لوازم خانگی اسنوا
فردیس پسرانه :نرسیده ب فلکه دوم خ 13 جدید پلاک 37 آموزشگاه پژوهندگان علم02636547880-02636541913
فردیس دخترانه: بین فلکه اول و دوم بین خیابان نهم و یازدهم غربی جدید آموزشگاه پژوهندگان علم 02636502855-02636591747",02636509733-02636501243,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,کرج دختر 2,کرج دختر 2,کرج - طالقانی شمالی نرسیده به پل آزادگان روبروی برج یادمان آموزشگاه سلاله(قلم چی),02632407463-02632407442-02691014141,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
البرز,کمالشهر,کمالشهر,میدان شهرداری خیابان امام خمینی نبش کوچه میعاد 25 پلاک 35 پاساژ مرکزی طبقه دوم,02634707518,https://www.kanoon.ir/City/Agencies?state=31,2026-09-18T12:23:00+00:00
ایلام,آبدانان,آبدانان پسران,ایلام-آبدانان-میدان بسیج کوچه تعاونی 5 کوچه معلم,09189436066-09183417065-08433627207-09376763069,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,آبدانان,آبدانان دختران,آبدانان 15 خرداد جنوبی روبری بیمه سلامت کانون قلم چی ابدانان دختر,08433627698-08433629082-08433627698-08433629082,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,ايلام 1,ايلام 1,ایلام 24 متری اشرفی اصفهانی کوچه شباهنگ روبه روی تالار بانک صادرات,09357660887-08433369360-08433365116-08433351701,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,ايلام 2,ايلام 2,میدان کشوری - بلوار آزادی - کوچه آزادی 11,08432240507-09387224865-08432232118-08432240507,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,ايوان,ايوان,ایوان - میدان شهید مصطفی - ساختمان دانشگاه پیام نور - نمایندگی کانون فرهنگی آموزش قلم چی,09188415794 - 09182829879 - 08433239765,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,بدره,بدره,بدره-  خیابان امام -خیابان شهید سعیدی-آموزشگاه پسران نجوای قلم و دختران نجوای قلم 1,08435722845-08435722845-08435722845-08435722845,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,دره شهر,دره شهر,استان ایلام - شهرستان دره شهر-خیابان معلم-کوچه ایمان,08435224342-09187480413-08435224342-09183458200,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,دهلران,دهلران,دهلران  خیابان امام خیابان خیام جنب آزمایشگاه نظری,08433729007-08433720018-08433729007-08433722215,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,سرابله,سرابله,سرابله  میدان معلم بلوار بسیج جنب فرمانداری,09185126980-08434225090-09183426516,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
ایلام,ملكشاهي,ملكشاهي,ارکوازملکشاهی انتهای خیابان آیت کانون قلم چی,08433852252-08433852252-08433852252-08433852252,https://www.kanoon.ir/City/Agencies?state=28,2026-09-18T12:23:00+00:00
بوشهر,برازجان,برازجان,برازجان -خیابان فردوسی روبروی مجتمع فنی تهران,09173732725-07734270147-07734259827-07734270042,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بندر دير,بندر دير,ورودی شهر-بلوار شهید بهشتی-مجتمع فرهنگی هنری نفت-طبقه همکف,07735425556-07735428808-09398225556-07735428803,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بندر ديلم,بندر ديلم,خیابان شهید فهمیده خیابان ولی عصر جنب اژانس شایان مهر اموزشگاه علمی معرفت,07724256092-07724254080-07724256051-07724255701,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بندر گناوه,بندر گناوه,گناوه خ پیروزی روبروی پمپ بنزین 07723234997-07723230591,09368298806,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بندر کنگان,بندر کنگان,شهرک ایثار 3 فرعی شانزدهم,07737236936 - 09362475379,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بوشهر پسر,بوشهر پسر,خیابان سنگی (بلوار امام خمینی ره) کوچه بوستان 15 سمت راست ، فرعی اول  کانون فرهنگی آموزش قلم چی بوشهر واحد پسران,07733532638-09104506125,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,بوشهر دختر,بوشهر دختر,خیابان امام خمینی(ره) کوچه بوستان ۱ کانون فرهنگی آموزش قلم چی,۳۳۵۳۴۵۹۸,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,تنگستان,تنگستان,بوشهر-اهرم تنگستان-خ انقلاب- روبروی اداره برق -کنارمغازه کالا ه برق سامعی-آموزشگاه عصر دانش تنگستان,07725226111-07725226434-07725226111-07725226434,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,جم,جم,جم - میدان امام حسین - خیابان فرمانداری ( خیابان معلم ) - مدرسه خدیجه کبری -کدپستی 7558754677,07737626549,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,خورموج,خورموج,بوشهر خورموج خیابان شهید مطهری کوچه شمال عکاسی افشین روبرو زبانکده خوارزمی واحد دختران,07735321100-07735323850-07735321199-07735321212,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
بوشهر,دلوار,دلوار,دلوار - خیابان شهید احمدی هنرستان کارودانش تلاش,07725622080,https://www.kanoon.ir/City/Agencies?state=26,2026-09-18T12:23:00+00:00
تهران,اسلامشهر,اسلامشهر پسران,باغ فیض -کوچه ششم - پلاک 33-کانون فرهنگی آموزش قلم چی (واحد پسران),021-56358803-021-56366466,https://www.kanoon.ir/City/Agencies?state=1,2026-09-18T12:23:00+00:00
تهران,اسلامشهر,اسلامشهر دختران,اسلامشهرخیابان امام محمد باقر نبش عدالت 3-پلاک 36 - کانون فرهنگی آموزش (واحد دختران),02156351870-02156352070,https://www.kanoon.ir/City/Agencies?state=1,2026-09-18T12:23:00+00:00
تهران,باغستان,باغستان,باغستان_خادم آباد-روبه روی تالار گل شب-طبقه فوقانی بانک صادرات طبقه اول   واحد یک,65230620-65233770,https://www.kanoon.ir/City/Agencies?state=1,2026-09-18T12:23:00+00:00
تهران,پاكدشت,پاكدشت,میدان ساعت بلوار جنوبی شهید قمی کوچه  گلستان سوم دبستان فاطمیه نمایندگی کانون فرهنگی آموزش,02136022794,https://www.kanoon.ir/City/Agencies?state=1,2026-09-18T12:23:00+00:00
